stage,task,seed,repeat,res_A,res_B1,res_B2,b2_vs_b1,b2_vs_a
dev,0,1,1,success,success,success,tie,tie
dev,0,1,2,success,success,policy_fail,b2_loss,b2_loss
dev,0,1,3,success,policy_fail,success,b2_win,tie
dev,0,2,1,success,success,success,tie,tie
dev,0,2,2,success,success,success,tie,tie
dev,0,2,3,success,success,success,tie,tie
dev,0,3,1,success,success,success,tie,tie
dev,0,3,2,success,success,success,tie,tie
dev,0,3,3,success,success,success,tie,tie
dev,0,4,1,policy_fail,success,success,tie,b2_win
dev,0,4,2,success,policy_fail,success,b2_win,tie
dev,0,4,3,success,policy_fail,success,b2_win,tie
dev,0,5,1,success,success,success,tie,tie
dev,0,5,2,success,success,success,tie,tie
dev,0,5,3,success,success,policy_fail,b2_loss,b2_loss
dev,0,6,1,success,success,success,tie,tie
dev,0,6,2,success,success,success,tie,tie
dev,0,6,3,success,success,success,tie,tie
dev,0,7,1,success,success,success,tie,tie
dev,0,7,2,success,success,success,tie,tie
dev,0,7,3,success,success,success,tie,tie
dev,0,8,1,success,success,success,tie,tie
dev,0,8,2,policy_fail,success,success,tie,b2_win
dev,0,8,3,success,success,success,tie,tie
dev,0,9,1,success,success,success,tie,tie
dev,0,9,2,success,success,success,tie,tie
dev,0,9,3,success,success,success,tie,tie
dev,0,10,1,success,success,success,tie,tie
dev,0,10,2,success,success,success,tie,tie
dev,0,10,3,success,success,success,tie,tie
dev,7,1,1,success,success,policy_fail,b2_loss,b2_loss
dev,7,1,2,success,success,success,tie,tie
dev,7,1,3,policy_fail,success,success,tie,b2_win
dev,7,2,1,success,success,policy_fail,b2_loss,b2_loss
dev,7,2,2,policy_fail,success,policy_fail,b2_loss,tie
dev,7,2,3,success,success,success,tie,tie
dev,7,3,1,success,success,success,tie,tie
dev,7,3,2,success,success,success,tie,tie
dev,7,3,3,policy_fail,infra_timeout,success,b2_win,b2_win
dev,7,4,1,success,success,success,tie,tie
dev,7,4,2,success,success,success,tie,tie
dev,7,4,3,success,success,success,tie,tie
dev,7,5,1,success,policy_fail,success,b2_win,tie
dev,7,5,2,success,success,success,tie,tie
dev,7,5,3,success,success,success,tie,tie
dev,7,6,1,success,success,success,tie,tie
dev,7,6,2,policy_fail,success,success,tie,b2_win
dev,7,6,3,success,success,success,tie,tie
dev,7,7,1,infra_timeout,success,success,tie,b2_win
dev,7,7,2,success,success,success,tie,tie
dev,7,7,3,success,success,success,tie,tie
dev,7,8,1,success,success,success,tie,tie
dev,7,8,2,infra_timeout,success,success,tie,b2_win
dev,7,8,3,success,success,success,tie,tie
dev,7,9,1,success,success,success,tie,tie
dev,7,9,2,success,success,success,tie,tie
dev,7,9,3,success,success,policy_fail,b2_loss,b2_loss
dev,7,10,1,success,infra_timeout,success,b2_win,tie
dev,7,10,2,success,success,success,tie,tie
dev,7,10,3,policy_fail,success,success,tie,b2_win
dev,9,1,1,success,success,success,tie,tie
dev,9,1,2,success,policy_fail,success,b2_win,tie
dev,9,1,3,policy_fail,success,policy_fail,b2_loss,tie
dev,9,2,1,policy_fail,success,success,tie,b2_win
dev,9,2,2,success,infra_timeout,policy_fail,tie,b2_loss
dev,9,2,3,infra_timeout,infra_timeout,policy_fail,tie,tie
dev,9,3,1,success,success,success,tie,tie
dev,9,3,2,success,success,policy_fail,b2_loss,b2_loss
dev,9,3,3,success,infra_timeout,success,b2_win,tie
dev,9,4,1,success,success,policy_fail,b2_loss,b2_loss
dev,9,4,2,infra_timeout,success,success,tie,b2_win
dev,9,4,3,infra_timeout,policy_fail,success,b2_win,b2_win
dev,9,5,1,policy_fail,success,success,tie,b2_win
dev,9,5,2,policy_fail,success,success,tie,b2_win
dev,9,5,3,success,success,success,tie,tie
dev,9,6,1,success,success,policy_fail,b2_loss,b2_loss
dev,9,6,2,success,success,policy_fail,b2_loss,b2_loss
dev,9,6,3,success,success,success,tie,tie
dev,9,7,1,success,success,policy_fail,b2_loss,b2_loss
dev,9,7,2,success,success,success,tie,tie
dev,9,7,3,success,success,success,tie,tie
dev,9,8,1,policy_fail,success,success,tie,b2_win
dev,9,8,2,success,success,success,tie,tie
dev,9,8,3,success,success,policy_fail,b2_loss,b2_loss
dev,9,9,1,infra_timeout,success,success,tie,b2_win
dev,9,9,2,success,policy_fail,policy_fail,tie,b2_loss
dev,9,9,3,success,success,success,tie,tie
dev,9,10,1,success,success,success,tie,tie
dev,9,10,2,success,policy_fail,success,b2_win,tie
dev,9,10,3,success,success,success,tie,tie
stage1,2,1,1,success,success,success,tie,tie
stage1,2,2,1,success,success,success,tie,tie
stage1,2,3,1,success,success,success,tie,tie
stage1,2,4,1,success,success,success,tie,tie
stage1,2,5,1,success,success,success,tie,tie
stage1,2,6,1,success,success,success,tie,tie
stage1,2,7,1,success,success,success,tie,tie
stage1,2,8,1,success,success,success,tie,tie
stage1,2,9,1,success,success,success,tie,tie
stage1,2,10,1,success,success,success,tie,tie
stage1,3,1,1,success,success,policy_fail,b2_loss,b2_loss
stage1,3,2,1,success,success,success,tie,tie
stage1,3,3,1,policy_fail,policy_fail,policy_fail,tie,tie
stage1,3,4,1,success,success,success,tie,tie
stage1,3,5,1,success,success,success,tie,tie
stage1,3,6,1,policy_fail,success,success,tie,b2_win
stage1,3,7,1,success,policy_fail,policy_fail,tie,b2_loss
stage1,3,8,1,policy_fail,policy_fail,success,b2_win,b2_win
stage1,3,9,1,success,policy_fail,policy_fail,tie,b2_loss
stage1,3,10,1,success,success,success,tie,tie
stage1,5,1,1,success,success,success,tie,tie
stage1,5,2,1,success,success,success,tie,tie
stage1,5,3,1,success,success,success,tie,tie
stage1,5,4,1,success,success,success,tie,tie
stage1,5,5,1,success,success,success,tie,tie
stage1,5,6,1,success,success,success,tie,tie
stage1,5,7,1,success,success,success,tie,tie
stage1,5,8,1,success,success,success,tie,tie
stage1,5,9,1,success,success,success,tie,tie
stage1,5,10,1,success,success,success,tie,tie
