stage,task,seed,repeat,result,success,n_confirmed_success,n_confirmed_failure,n_uncertain,false_positive_caught,n_observe_directives,n_observe_obeyed,obey_rate,n_reason_escalations,n_redundant_obs,resolved_success,resolved_failure,resolved_reason,overtaken,unresolved,commit_events,recovery_events,commit_latency_mean,recovery_latency_mean,same_tool_repeated,finish_claim,false_success_episode,n_picks,wall_s,metrics_source,dir
dev2,0,1,1,success,1,9,1,2,0,3,1,0.333,0,0,0,0,0,2,0,9,1,2.56,1.0,0,success,0,3,1380.9,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:49:24_glm-5.3-flash_armB2_libero_spatial_task_t0_s1_r1
dev2,0,2,2,success,1,5,1,1,0,2,2,1.0,1,0,0,0,1,0,0,5,1,4.6,1.0,0,success,0,1,1591.6,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:55:24_glm-5.3-flash_armB2_libero_spatial_task_t0_s2_r2
dev2,0,3,1,success,1,7,0,1,0,2,2,1.0,1,0,0,0,1,0,0,7,0,3.0,,0,success,0,1,2192.8,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:58:24_glm-5.3-flash_armB2_libero_spatial_task_t0_s3_r1
dev2,0,3,2,success,1,6,0,1,0,2,1,0.5,0,0,0,0,0,1,0,6,0,2.17,,0,success,0,1,2458.4,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:59:54_glm-5.3-flash_armB2_libero_spatial_task_t0_s3_r2
dev2,0,1,3,success,1,5,1,1,0,2,1,0.5,0,0,0,0,0,1,0,5,1,3.0,2.0,0,success,0,1,3025.5,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:52:24_glm-5.3-flash_armB2_libero_spatial_task_t0_s1_r3
dev2,0,2,3,success,1,8,0,2,0,3,1,0.333,0,0,0,0,0,2,0,8,0,3.38,,0,success,0,2,3042.6,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:56:54_glm-5.3-flash_armB2_libero_spatial_task_t0_s2_r3
dev2,0,2,1,success,1,10,0,3,0,4,2,0.5,1,0,0,0,1,2,0,10,0,3.6,,0,success,0,2,3358.4,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:53:54_glm-5.3-flash_armB2_libero_spatial_task_t0_s2_r1
dev2,0,1,2,policy_fail,0,8,5,0,0,0,0,,0,0,0,0,0,0,0,8,5,3.5,1.8,0,,0,1,3587.8,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-05:50:54_glm-5.3-flash_armB2_libero_spatial_task_t0_s1_r2
dev2,0,4,1,success,1,4,1,2,0,2,0,0.0,0,0,0,0,0,2,0,4,1,2.25,4.0,0,success,0,2,2473.0,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:21:55_glm-5.3-flash_armB2_libero_spatial_task_t0_s4_r1
dev2,0,6,1,success,1,4,0,2,0,3,1,0.333,0,0,0,0,0,2,0,4,0,1.75,,0,success,0,2,1415.5,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:50:42_glm-5.3-flash_armB2_libero_spatial_task_t0_s6_r1
dev2,0,4,2,success,1,7,1,2,0,3,2,0.667,1,0,0,0,1,1,0,7,1,1.67,1.0,0,,0,3,2785.6,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:34:56_glm-5.3-flash_armB2_libero_spatial_task_t0_s4_r2
dev2,0,5,1,success,1,9,0,1,0,1,1,1.0,0,0,1,0,0,0,0,9,0,3.33,,0,success,0,1,2982.6,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:42:49_glm-5.3-flash_armB2_libero_spatial_task_t0_s5_r1
dev2,0,5,2,success,1,9,0,2,0,3,2,0.667,1,0,0,0,1,1,0,9,0,2.33,,0,success,0,1,2859.6,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:47:36_glm-5.3-flash_armB2_libero_spatial_task_t0_s5_r2
dev2,0,6,2,success,1,6,1,1,0,2,1,0.5,0,0,0,0,0,1,0,6,1,1.83,11.0,0,success,0,1,2114.9,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:03:08_glm-5.3-flash_armB2_libero_spatial_task_t0_s6_r2
dev2,0,4,3,success,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,3688.8,transcript_replay,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-06:40:52_glm-5.3-flash_armB2_libero_spatial_task_t0_s4_r3
dev2,0,6,3,success,1,7,1,2,0,3,1,0.333,0,0,0,0,0,2,0,7,1,3.0,1.0,0,success,0,2,2003.2,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:13:54_glm-5.3-flash_armB2_libero_spatial_task_t0_s6_r3
dev2,0,7,2,success,1,5,0,1,0,2,1,0.5,0,0,0,0,0,1,0,5,0,2.4,,0,success,0,1,1827.9,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:21:22_glm-5.3-flash_armB2_libero_spatial_task_t0_s7_r2
dev2,0,7,1,success,1,9,1,2,0,2,0,0.0,0,0,0,0,0,2,0,9,1,3.11,2.0,0,success,0,1,2530.7,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:14:17_glm-5.3-flash_armB2_libero_spatial_task_t0_s7_r1
dev2,0,7,3,success,1,7,0,1,0,2,1,0.5,0,0,0,0,0,1,0,7,0,2.71,,0,success,0,1,2087.3,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:32:32_glm-5.3-flash_armB2_libero_spatial_task_t0_s7_r3
dev2,0,8,2,success,1,5,0,1,0,2,2,1.0,1,0,0,0,1,0,0,5,0,2.2,,0,success,0,1,1822.1,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:38:23_glm-5.3-flash_armB2_libero_spatial_task_t0_s8_r2
dev2,0,10,1,success,1,3,0,1,0,1,0,0.0,0,0,0,0,0,1,0,3,0,1.67,,0,success,0,2,838.7,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:56:28_glm-5.3-flash_armB2_libero_spatial_task_t0_s10_r1
dev2,0,9,3,success,1,4,0,1,0,1,0,0.0,0,0,0,0,0,1,0,4,0,3.0,,0,success,0,2,1637.1,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:51:50_glm-5.3-flash_armB2_libero_spatial_task_t0_s9_r3
dev2,0,9,2,success,1,6,0,1,0,2,1,0.5,0,0,0,0,0,1,0,6,0,2.83,,0,success,0,1,1985.7,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:51:29_glm-5.3-flash_armB2_libero_spatial_task_t0_s9_r2
dev2,0,8,3,success,1,7,0,2,0,3,1,0.333,0,0,0,0,0,2,0,7,0,3.8,,0,,0,2,3007.9,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:42:21_glm-5.3-flash_armB2_libero_spatial_task_t0_s8_r3
dev2,0,8,1,success,1,8,0,2,0,3,1,0.333,0,0,0,0,0,2,0,8,0,3.12,,0,success,0,2,3503.9,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-07:35:16_glm-5.3-flash_armB2_libero_spatial_task_t0_s8_r1
dev2,0,10,3,success,1,6,0,1,0,2,1,0.5,0,0,0,0,0,1,0,6,0,2.17,,0,success,0,1,1521.3,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:08:45_glm-5.3-flash_armB2_libero_spatial_task_t0_s10_r3
dev2,7,1,3,success,1,6,0,1,0,1,0,0.0,0,0,0,0,0,1,0,6,0,3.5,,0,success,0,1,2546.8,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:24:35_glm-5.3-flash_armB2_libero_spatial_task_t7_s1_r3
dev2,0,10,2,success,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,3727.3,transcript_replay,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:07:19_glm-5.3-flash_armB2_libero_spatial_task_t0_s10_r2
dev2,7,2,2,policy_fail,0,10,0,2,0,3,2,0.667,1,0,0,0,1,1,0,10,0,3.0,,0,,0,1,2736.1,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:33:40_glm-5.3-flash_armB2_libero_spatial_task_t7_s2_r2
dev2,7,1,2,success,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,3694.4,transcript_replay,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:19:07_glm-5.3-flash_armB2_libero_spatial_task_t7_s1_r2
dev2,7,2,3,success,1,7,1,2,0,4,3,0.75,1,0,0,0,1,1,0,7,1,3.86,1.0,0,success,0,2,3340.3,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-08:34:07_glm-5.3-flash_armB2_libero_spatial_task_t7_s2_r3
dev2,7,3,2,success,1,6,0,1,0,2,1,0.5,0,0,0,0,0,1,0,6,0,3.33,,0,success,0,1,2399.0,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-09:07:01_glm-5.3-flash_armB2_libero_spatial_task_t7_s3_r2
dev2,7,4,3,success,1,7,0,1,0,2,2,1.0,1,0,0,0,1,0,0,7,0,2.71,,0,success,0,1,2571.7,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-09:20:42_glm-5.3-flash_armB2_libero_spatial_task_t7_s4_r3
dev2,7,4,2,success,1,5,1,1,0,2,1,0.5,0,0,0,0,0,1,0,5,1,2.4,5.0,0,success,0,1,2740.7,structured_metrics,/workspace/yjx/workspace/RPent/logs/ovpm_exp/20260915-09:19:16_glm-5.3-flash_armB2_libero_spatial_task_t7_s4_r2
