task,label,run,outcome,n_turns,n_calls,perc,act,other,perc_ratio,max_redundant_perc,retried,ground_seg_hits,first_action_turn
7,success,20260811-21:21:46_libero_goal_swap_t7_s5,success,18,20,8,2,10,0.4,4,-,0,12
7,success,20260811-21:17:02_libero_goal_swap_t7_s4,success,21,24,8,2,14,0.33,4,-,0,15
7,success,20260811-21:27:44_libero_goal_swap_t7_s7,success,21,27,10,2,15,0.37,5,-,0,15
7,success,20260811-21:28:36_libero_goal_swap_t7_s8,success,17,22,10,2,10,0.45,5,-,0,11
7,success,20260811-21:11:45_libero_goal_swap_t7_s2,success,20,24,7,2,15,0.29,2,-,0,14
7,fail,20260811-02:00:39_libero_spatial_t7_s3,max_turns,40,42,19,13,10,0.45,9,move_tox10,1,19
7,fail,20260811-02:18:29_libero_spatial_t7_s6,max_turns,40,45,25,6,14,0.56,15,move_tox3;pi0_pickx2,1,24
7,fail,20260811-01:52:55_libero_spatial_t7_s2,max_turns,40,44,30,4,10,0.68,13,move_tox2,1,21
7,fail,20260811-02:00:39_libero_spatial_t7_s4,max_turns,40,44,24,10,10,0.55,7,move_tox7,2,16
7,fail,20260810-17:50:58_libero_spatial_t7_s0,max_turns,60,64,41,12,11,0.64,12,move_tox9,1,22
0,success,20260810-19:31:14_libero_spatial_t0_s9,success,40,45,27,9,9,0.6,8,move_tox5;pi0_pickx2,5,11
0,success,20260810-19:19:26_libero_spatial_t0_s7,success,39,41,25,8,8,0.61,10,move_tox5,0,15
0,success,20260810-19:02:43_libero_spatial_t0_s4,success,40,43,24,8,11,0.56,9,move_tox6,0,17
0,success,20260810-19:13:15_libero_spatial_t0_s6,max_turns,40,45,29,7,9,0.64,15,move_tox4,0,19
0,fail,20260812-04:13:43_libero_goal_swap_t0_s0,finish_no_success,96,98,48,29,21,0.49,12,move_tox10;pi0_doubledx12;move_posex5,2,32
0,fail,20260812-17:03:16_libero_spatial_task_t0_s0,max_turns,60,62,35,20,7,0.56,5,move_tox17,0,12
0,fail,20260812-13:52:49_libero_goal_task_t0_s0,unknown,7,11,2,0,9,0.18,2,-,0,
0,fail,20260810-17:30:20_libero_spatial_t0_s1,unknown,24,30,16,3,11,0.53,10,move_tox2,0,17
0,fail,20260810-18:54:27_libero_spatial_t0_s2,max_turns,40,43,29,5,9,0.67,13,move_tox3,0,23
9,success,20260811-23:53:31_libero_goal_swap_t9_s4,success,29,35,17,5,13,0.49,7,pi0_doubledx2,3,15
9,success,20260811-13:49:12_libero_goal_task_t9_s3,success,38,41,18,9,14,0.44,10,move_tox6,0,22
9,success,20260811-13:32:19_libero_goal_task_t9_s0,success,45,58,23,12,23,0.4,13,move_tox9,0,23
9,success,20260811-14:00:28_libero_goal_task_t9_s5,success,33,35,14,9,12,0.4,8,move_tox6,0,18
9,success,20260811-13:40:59_libero_goal_task_t9_s1,max_turns,40,42,21,9,12,0.5,9,move_tox6,0,21
9,fail,20260811-23:03:27_libero_goal_swap_t9_s0,max_turns,60,63,33,18,12,0.52,22,move_tox10;pi0_pickx3;set_gripperx3,3,31
9,fail,20260812-00:49:37_libero_goal_swap_t9_s9,unknown,13,18,5,0,13,0.28,4,-,2,
9,fail,20260812-14:44:21_libero_goal_swap_t9_s1,max_turns,40,42,23,4,15,0.55,16,pi0_pickx2,4,30
9,fail,20260811-23:32:03_libero_goal_swap_t9_s2,max_turns,40,47,25,8,14,0.53,16,move_tox4;pi0_pickx4,3,24
9,fail,20260812-00:12:07_libero_goal_swap_t9_s6,infra_timeout,21,23,12,0,11,0.52,10,-,2,
