run_id,cond,task,seed,turn,tool,category,target,run_success,recovery_ok
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,1,read_text_file,memory,MEMORY.md,False,
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,1,read_text_file,guides,strict_hybrid_guide.md,False,
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,2,read_text_file,guides,strict_hybrid_guide.md,False,
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,5,list_dir,prior_results,results_spatial_pert,False,
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,9,list_dir,prior_results,results_spatial_pert,False,
20260812-23:39:42_libero_spatial_task_t0_s1,baseline,0,1,10,read_text_file,prior_results,spatial_t0_s0.json,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,1,read_text_file,memory,MEMORY.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,1,read_text_file,guides,strict_hybrid_guide.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,1,read_text_file,guides,pro_hybrid_guide.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,1,read_text_file,guides,env_calibration.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,2,read_text_file,guides,strict_hybrid_guide.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,3,read_text_file,guides,pro_hybrid_guide.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,4,read_text_file,guides,env_calibration.md,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,6,list_dir,prior_results,results_spatial_pert,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,6,list_dir,other,memory,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,7,read_text_file,prior_results,spatial_t0_s0.json,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,8,list_dir,other,memory,False,
20260812-23:47:59_libero_spatial_task_t0_s2,baseline,0,2,9,read_text_file,prior_results,recipe_spatial_t0_s0.jsonl,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,1,read_text_file,memory,MEMORY.md,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,1,list_dir,memory,,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,2,list_dir,memory,,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,3,read_text_file,guides,strict_hybrid_guide.md,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,4,read_text_file,guides,pro_hybrid_guide.md,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,4,list_dir,prior_results,,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,5,list_dir,prior_results,,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,6,read_text_file,prior_results,spatial_t0_s0.json,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,6,read_text_file,prior_results,recipe_spatial_t0_s0.jsonl,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,7,read_text_file,prior_results,recipe_spatial_t0_s0.jsonl,False,
20260812-23:58:33_libero_spatial_task_t0_s3,baseline,0,3,8,read_text_file,guides,env_calibration.md,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,1,read_text_file,memory,MEMORY.md,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,1,read_text_file,guides,strict_hybrid_guide.md,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,2,read_text_file,guides,strict_hybrid_guide.md,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,3,list_dir,prior_results,results_spatial_pert,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,4,read_text_file,prior_results,spatial_t0_s0.json,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,5,read_text_file,prior_results,recipe_spatial_t0_s0.jsonl,False,
20260813-12:55:29_libero_spatial_task_t0_s4,baseline,0,4,6,read_text_file,guides,pro_hybrid_guide.md,False,
20260813-12:58:33_libero_spatial_task_t0_s5,baseline,0,5,1,read_text_file,memory,MEMORY.md,False,
20260813-12:58:33_libero_spatial_task_t0_s5,baseline,0,5,1,list_dir,memory,,False,
