src,cond,task,seed,repeat,result,run_id,n_turns,n_picks,picks_held,n_release,rel_term,first_hold_pick,n_moves,finish_status
pg,baseline,0,1,1,policy_fail,20260812-23:39:42_libero_spatial_task_t0_s1,11,0,0,0,False,,0,
pg,baseline,0,1,2,policy_fail,20260814-19:05:48_baseline_libero_spatial_task_t0_s1_r2,40,1,1,0,False,1,6,
pg,baseline,0,1,3,policy_fail,20260814-19:05:48_baseline_libero_spatial_task_t0_s1_r3,21,0,0,0,False,,0,
pg,hardcap,0,1,2,policy_fail,20260817-16:09:57_hardcap_libero_spatial_task_t0_s1_r2,40,1,1,1,False,1,8,
pg,hardcap,0,1,3,success,20260817-16:09:57_hardcap_libero_spatial_task_t0_s1_r3,37,1,1,1,False,1,7,success
pg,hardcap,0,1,1,policy_fail,20260817-16:09:57_hardcap_libero_spatial_task_t0_s1_r1,40,1,1,0,False,1,6,
pg,ours,0,1,2,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s1_r2,40,0,0,0,False,,3,
pg,ours,0,1,3,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s1_r3,40,1,1,0,False,1,4,
pg,ours,0,1,1,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s1_r1,40,1,1,1,False,1,9,
sm,structured,0,1,1,policy_fail,20260818-15:51:59_structured_libero_spatial_task_t0_s1_r1,12,0,0,0,False,,2,
pg,baseline,0,10,1,success,20260813-13:10:45_libero_spatial_task_t0_s10,30,1,1,1,True,1,7,success
pg,baseline,0,10,2,success,20260814-21:04:45_baseline_libero_spatial_task_t0_s10_r2,30,1,1,1,True,1,7,success
pg,baseline,0,10,3,success,20260814-21:06:12_baseline_libero_spatial_task_t0_s10_r3,40,1,1,1,True,1,6,success
pg,hardcap,0,10,1,success,20260817-16:50:31_hardcap_libero_spatial_task_t0_s10_r1,31,1,1,1,True,1,6,success
pg,hardcap,0,10,3,success,20260817-16:51:56_hardcap_libero_spatial_task_t0_s10_r3,40,1,1,1,True,1,6,
pg,hardcap,0,10,2,success,20260817-16:51:54_hardcap_libero_spatial_task_t0_s10_r2,40,2,2,1,False,1,8,
pg,ours,0,10,3,policy_fail,20260817-14:25:13_ours_libero_spatial_task_t0_s10_r3,40,1,1,1,False,1,7,
pg,ours,0,10,2,policy_fail,20260817-14:25:07_ours_libero_spatial_task_t0_s10_r2,40,1,1,1,False,1,4,
pg,ours,0,10,1,policy_fail,20260817-14:24:50_ours_libero_spatial_task_t0_s10_r1,40,1,1,1,False,1,7,
sm,structured,0,10,1,success,20260818-16:02:01_structured_libero_spatial_task_t0_s10_r1,24,1,1,1,True,1,5,success
pg,baseline,0,2,1,policy_fail,20260812-23:47:59_libero_spatial_task_t0_s2,40,1,1,1,False,1,6,
pg,baseline,0,2,2,policy_fail,20260814-19:19:20_baseline_libero_spatial_task_t0_s2_r2,40,1,1,1,False,1,5,
pg,baseline,0,2,3,success,20260814-19:21:22_baseline_libero_spatial_task_t0_s2_r3,40,1,1,1,True,1,6,
pg,hardcap,0,2,1,success,20260817-16:09:57_hardcap_libero_spatial_task_t0_s2_r1,39,1,1,1,True,1,7,success
pg,hardcap,0,2,3,success,20260817-16:09:57_hardcap_libero_spatial_task_t0_s2_r3,36,1,1,1,True,1,6,success
pg,hardcap,0,2,2,policy_fail,20260817-16:09:57_hardcap_libero_spatial_task_t0_s2_r2,40,2,2,0,False,1,7,
pg,ours,0,2,3,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s2_r3,18,0,0,0,False,,0,
pg,ours,0,2,2,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s2_r2,40,1,1,1,False,1,6,
pg,ours,0,2,1,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s2_r1,40,1,1,0,False,1,5,
sm,structured,0,2,1,success,20260818-15:51:59_structured_libero_spatial_task_t0_s2_r1,40,2,2,1,False,1,4,
pg,baseline,0,3,1,policy_fail,20260812-23:58:33_libero_spatial_task_t0_s3,40,1,1,1,False,1,6,
pg,baseline,0,3,2,policy_fail,20260814-19:31:03_baseline_libero_spatial_task_t0_s3_r2,40,1,1,0,False,1,3,
pg,baseline,0,3,3,policy_fail,20260814-19:31:14_baseline_libero_spatial_task_t0_s3_r3,40,1,1,0,False,1,8,
pg,hardcap,0,3,1,success,20260817-16:09:57_hardcap_libero_spatial_task_t0_s3_r1,35,1,1,1,True,1,5,success
pg,hardcap,0,3,2,success,20260817-16:09:57_hardcap_libero_spatial_task_t0_s3_r2,32,1,1,1,True,1,7,success
pg,hardcap,0,3,3,success,20260817-16:20:16_hardcap_libero_spatial_task_t0_s3_r3,33,1,1,1,True,1,6,success
pg,ours,0,3,2,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s3_r2,40,1,1,0,False,1,9,
pg,ours,0,3,1,policy_fail,20260817-13:51:45_ours_libero_spatial_task_t0_s3_r1,40,2,2,1,False,1,9,
pg,ours,0,3,3,success,20260817-14:00:33_ours_libero_spatial_task_t0_s3_r3,36,1,1,1,True,1,6,success
sm,structured,0,3,1,success,20260818-15:51:59_structured_libero_spatial_task_t0_s3_r1,22,1,1,1,False,1,6,success
pg,baseline,0,4,1,policy_fail,20260813-12:55:29_libero_spatial_task_t0_s4,40,1,1,1,False,1,7,
pg,baseline,0,4,2,policy_fail,20260814-19:43:36_baseline_libero_spatial_task_t0_s4_r2,40,1,1,1,False,1,5,
pg,baseline,0,4,3,policy_fail,20260814-19:44:42_baseline_libero_spatial_task_t0_s4_r3,40,1,1,1,False,1,6,
pg,hardcap,0,4,1,policy_fail,20260817-16:22:28_hardcap_libero_spatial_task_t0_s4_r1,40,2,2,1,False,1,7,
pg,hardcap,0,4,3,policy_fail,20260817-16:24:39_hardcap_libero_spatial_task_t0_s4_r3,40,1,1,1,False,1,8,
pg,hardcap,0,4,2,policy_fail,20260817-16:24:25_hardcap_libero_spatial_task_t0_s4_r2,40,2,1,1,False,2,11,
pg,ours,0,4,2,policy_fail,20260817-14:00:55_ours_libero_spatial_task_t0_s4_r2,40,1,1,0,False,1,7,
pg,ours,0,4,1,policy_fail,20260817-14:00:40_ours_libero_spatial_task_t0_s4_r1,40,1,1,2,False,1,6,
pg,ours,0,4,3,policy_fail,20260817-14:02:07_ours_libero_spatial_task_t0_s4_r3,40,1,1,1,False,1,5,
sm,structured,0,4,1,policy_fail,20260818-15:51:59_structured_libero_spatial_task_t0_s4_r1,40,2,2,1,False,1,11,
pg,baseline,0,5,1,policy_fail,20260813-12:58:33_libero_spatial_task_t0_s5,40,2,2,1,False,1,8,
pg,baseline,0,5,2,success,20260814-19:57:23_baseline_libero_spatial_task_t0_s5_r2,31,1,1,1,False,1,7,success
pg,baseline,0,5,3,policy_fail,20260814-19:58:01_baseline_libero_spatial_task_t0_s5_r3,40,1,1,1,False,1,8,
sm,baseline,0,5,2,success,20260818-16:35:53_baseline_libero_spatial_task_t0_s5_r2,35,1,1,1,True,1,7,success
pg,hardcap,0,5,3,success,20260817-16:26:02_hardcap_libero_spatial_task_t0_s5_r3,34,1,1,1,True,1,6,success
pg,hardcap,0,5,1,policy_fail,20260817-16:24:41_hardcap_libero_spatial_task_t0_s5_r1,40,1,1,1,False,1,9,
pg,hardcap,0,5,2,policy_fail,20260817-16:26:02_hardcap_libero_spatial_task_t0_s5_r2,40,2,1,2,False,1,9,
pg,ours,0,5,1,success,20260817-14:02:52_ours_libero_spatial_task_t0_s5_r1,29,1,1,1,True,1,5,success
pg,ours,0,5,2,success,20260817-14:03:31_ours_libero_spatial_task_t0_s5_r2,40,1,1,1,True,1,4,success
pg,ours,0,5,3,success,20260817-14:04:08_ours_libero_spatial_task_t0_s5_r3,40,1,1,1,True,1,6,
sm,structured,0,5,1,success,20260818-15:51:59_structured_libero_spatial_task_t0_s5_r1,21,2,2,0,False,1,4,success
pg,baseline,0,6,1,success,20260813-13:01:06_libero_spatial_task_t0_s6,40,1,1,1,True,1,7,success
pg,baseline,0,6,3,success,20260814-20:11:57_baseline_libero_spatial_task_t0_s6_r3,34,1,1,1,True,1,6,success
pg,baseline,0,6,2,policy_fail,20260814-20:10:51_baseline_libero_spatial_task_t0_s6_r2,40,1,1,1,False,1,9,
pg,hardcap,0,6,1,success,20260817-16:26:34_hardcap_libero_spatial_task_t0_s6_r1,34,1,1,1,True,1,6,success
pg,hardcap,0,6,2,success,20260817-16:31:05_hardcap_libero_spatial_task_t0_s6_r2,28,1,1,1,True,1,6,success
pg,hardcap,0,6,3,policy_fail,20260817-16:33:01_hardcap_libero_spatial_task_t0_s6_r3,40,1,1,1,False,1,8,
pg,ours,0,6,1,policy_fail,20260817-14:04:58_ours_libero_spatial_task_t0_s6_r1,40,1,1,1,False,1,9,
pg,ours,0,6,2,policy_fail,20260817-14:09:49_ours_libero_spatial_task_t0_s6_r2,40,1,1,0,False,1,3,
pg,ours,0,6,3,success,20260817-14:11:20_ours_libero_spatial_task_t0_s6_r3,32,1,1,1,True,1,7,success
sm,structured,0,6,1,success,20260818-15:51:59_structured_libero_spatial_task_t0_s6_r1,22,1,1,1,True,1,5,success
pg,baseline,0,7,1,policy_fail,20260813-13:03:28_libero_spatial_task_t0_s7,15,0,0,0,False,,0,
pg,baseline,0,7,2,policy_fail,20260814-20:26:17_baseline_libero_spatial_task_t0_s7_r2,15,0,0,0,False,,0,
pg,baseline,0,7,3,policy_fail,20260814-20:27:16_baseline_libero_spatial_task_t0_s7_r3,40,1,1,0,False,1,6,
pg,hardcap,0,7,1,policy_fail,20260817-16:37:43_hardcap_libero_spatial_task_t0_s7_r1,13,0,0,0,False,,0,
pg,hardcap,0,7,2,policy_fail,20260817-16:38:36_hardcap_libero_spatial_task_t0_s7_r2,40,1,1,0,False,1,7,
pg,hardcap,0,7,3,policy_fail,20260817-16:39:26_hardcap_libero_spatial_task_t0_s7_r3,40,2,2,0,False,1,9,
pg,ours,0,7,1,policy_fail,20260817-14:12:49_ours_libero_spatial_task_t0_s7_r1,40,3,1,0,False,3,3,
pg,ours,0,7,2,policy_fail,20260817-14:14:05_ours_libero_spatial_task_t0_s7_r2,40,3,0,0,False,,5,
pg,ours,0,7,3,success,20260817-14:14:12_ours_libero_spatial_task_t0_s7_r3,40,1,1,0,False,1,6,success
sm,structured,0,7,1,success,20260818-15:51:59_structured_libero_spatial_task_t0_s7_r1,35,1,1,0,False,1,4,success
pg,baseline,0,8,1,success,20260813-13:07:35_libero_spatial_task_t0_s8,40,1,1,1,True,1,6,
pg,baseline,0,8,2,success,20260814-20:39:11_baseline_libero_spatial_task_t0_s8_r2,32,1,1,1,True,1,6,success
pg,baseline,0,8,3,success,20260814-20:39:31_baseline_libero_spatial_task_t0_s8_r3,32,1,1,1,True,1,7,success
pg,hardcap,0,8,2,success,20260817-16:40:36_hardcap_libero_spatial_task_t0_s8_r2,30,1,1,1,True,1,5,success
pg,hardcap,0,8,1,success,20260817-16:40:06_hardcap_libero_spatial_task_t0_s8_r1,24,1,1,1,True,1,7,success
pg,hardcap,0,8,3,policy_fail,20260817-16:41:52_hardcap_libero_spatial_task_t0_s8_r3,40,1,1,1,False,1,6,
pg,ours,0,8,2,success,20260817-14:16:14_ours_libero_spatial_task_t0_s8_r2,37,1,1,1,True,1,5,success
pg,ours,0,8,3,success,20260817-14:17:36_ours_libero_spatial_task_t0_s8_r3,40,1,1,1,True,1,5,
pg,ours,0,8,1,success,20260817-14:16:10_ours_libero_spatial_task_t0_s8_r1,34,1,1,1,True,1,6,success
sm,structured,0,8,1,policy_fail,20260818-15:51:59_structured_libero_spatial_task_t0_s8_r1,40,3,1,1,False,1,11,failure
pg,baseline,0,9,1,success,20260813-13:09:43_libero_spatial_task_t0_s9,36,1,1,1,True,1,6,success
