ts,stage,suite,task,seed,cond,repeat,dir,rc,wall_s,result
20260812-23:39:4,P0,libero_spatial_task,0,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:39:42_libero_spatial_task_t0_s1/,0,,policy_fail
20260812-23:47:5,P0,libero_spatial_task,0,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:47:59_libero_spatial_task_t0_s2/,0,,policy_fail
20260812-23:58:3,P0,libero_spatial_task,0,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:58:33_libero_spatial_task_t0_s3/,0,,policy_fail
20260813-12:55:2,P0,libero_spatial_task,0,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:55:29_libero_spatial_task_t0_s4/,0,,policy_fail
20260813-12:58:3,P0,libero_spatial_task,0,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:58:33_libero_spatial_task_t0_s5/,0,,policy_fail
20260813-13:01:0,P0,libero_spatial_task,0,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:01:06_libero_spatial_task_t0_s6/,0,,success
20260813-13:03:2,P0,libero_spatial_task,0,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:03:28_libero_spatial_task_t0_s7/,0,,policy_fail
20260813-13:07:3,P0,libero_spatial_task,0,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:07:35_libero_spatial_task_t0_s8/,0,,success
20260813-13:09:4,P0,libero_spatial_task,0,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:09:43_libero_spatial_task_t0_s9/,0,,success
20260813-13:10:4,P0,libero_spatial_task,0,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:10:45_libero_spatial_task_t0_s10/,0,,success
20260814-18:26:0,P0,libero_spatial_task,7,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s1/,0,,success
20260814-18:26:0,P0,libero_spatial_task,7,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s2/,0,,success
20260814-18:33:4,P0,libero_spatial_task,7,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:33:48_libero_spatial_task_t7_s3/,0,,policy_fail
20260814-18:36:5,P0,libero_spatial_task,7,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:36:55_libero_spatial_task_t7_s4/,0,,policy_fail
20260814-18:38:3,P0,libero_spatial_task,7,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:38:33_libero_spatial_task_t7_s5/,0,,policy_fail
20260814-18:43:4,P0,libero_spatial_task,7,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:42_libero_spatial_task_t7_s6/,0,,policy_fail
