src,cond,task,seed,repeat,run_id,success,result,mechanism,turns,n_picks,hold_turn,n_release,rel_fails,first_release_turn,stall_span,moves_after_hold,perc_after_hold,guard_blocks,near_repeat_rate
pg,baseline,0,1,1,20260812-23:39:42_libero_spatial_task_t0_s1,False,policy_fail,no_pick,11,0,,0,0,,,0,0,0,0.0
pg,baseline,0,2,1,20260812-23:47:59_libero_spatial_task_t0_s2,False,policy_fail,place_fail,40,1,25,1,1,37,12,4,9,0,0.0
pg,baseline,0,3,1,20260812-23:58:33_libero_spatial_task_t0_s3,False,policy_fail,place_fail,40,1,24,1,1,39,15,3,11,0,0.08
pg,baseline,0,4,1,20260813-12:55:29_libero_spatial_task_t0_s4,False,policy_fail,place_fail,40,1,21,1,1,36,15,5,12,0,0.0
pg,baseline,0,5,1,20260813-12:58:33_libero_spatial_task_t0_s5,False,policy_fail,place_fail,40,2,21,1,1,32,11,5,11,0,0.2
pg,baseline,0,6,1,20260813-13:01:06_libero_spatial_task_t0_s6,True,success,success,40,1,23,1,0,38,15,4,9,0,0.0
pg,baseline,0,7,1,20260813-13:03:28_libero_spatial_task_t0_s7,False,policy_fail,no_pick,15,0,,0,0,,,0,0,0,0.0
pg,baseline,0,8,1,20260813-13:07:35_libero_spatial_task_t0_s8,False,success,place_partial,40,1,20,1,0,39,19,5,13,0,0.0
pg,baseline,0,9,1,20260813-13:09:43_libero_spatial_task_t0_s9,True,success,success,36,1,20,1,0,33,13,4,8,0,0.0
pg,baseline,0,10,1,20260813-13:10:45_libero_spatial_task_t0_s10,True,success,success,30,1,17,1,0,27,10,4,5,0,0.0
pg,baseline,7,1,1,20260814-18:26:09_libero_spatial_task_t7_s1,False,success,place_partial,40,2,21,1,0,40,19,6,10,0,0.0
pg,baseline,7,2,1,20260814-18:26:09_libero_spatial_task_t7_s2,True,success,success,37,1,23,1,0,34,11,5,5,0,0.0
pg,baseline,7,3,1,20260814-18:33:48_libero_spatial_task_t7_s3,False,policy_fail,place_stall,40,1,23,0,0,,,6,10,0,0.27
pg,baseline,7,4,1,20260814-18:36:55_libero_spatial_task_t7_s4,False,policy_fail,place_stall,40,3,25,0,0,,,3,10,0,0.06
pg,baseline,7,5,1,20260814-18:38:33_libero_spatial_task_t7_s5,False,policy_fail,place_fail,40,1,21,1,1,32,11,8,9,0,0.0
pg,baseline,7,6,1,20260814-18:43:42_libero_spatial_task_t7_s6,True,policy_fail,success,38,1,21,1,0,35,14,6,7,0,0.0
pg,baseline,7,7,1,20260814-18:43:55_libero_spatial_task_t7_s7,False,policy_fail,place_fail,40,2,22,1,1,33,11,6,10,0,0.1
pg,baseline,7,8,1,20260814-18:48:08_libero_spatial_task_t7_s8,False,policy_fail,place_stall,40,4,34,0,0,,,2,3,0,0.0
