arm,stage,cond,task,seed,segment,result,success,infra,turns,wall_s,fires,injections,injected_tokens,recovery_any,stalled@3
P0,g05,g05P0,3,1,s1-10,policy_fail,0,0,39,2712.2,2,0,0,0,0
P0,g05,g05P0,3,2,s1-10,success,1,0,20,595.6,0,0,0,0,0
P0,g05,g05P0,3,3,s1-10,success,1,0,32,2729.6,1,0,0,0,0
P0,g05,g05P0,3,4,s1-10,policy_fail,0,0,39,2727.2,1,0,0,0,0
P0,g05,g05P0,3,5,s1-10,success,1,0,32,3570.4,3,0,0,0,0
P0,g05,g05P0,3,6,s1-10,policy_fail,0,0,39,3248.6,2,0,0,0,0
P0,g05,g05P0,3,7,s1-10,success,1,0,24,2719.5,2,0,0,0,0
P0,g05,g05P0,3,8,s1-10,success,1,0,19,1366.8,1,0,0,0,0
P0,g05,g05P0,3,9,s1-10,success,1,0,12,823.4,0,0,0,0,0
P0,g05,g05P0,3,10,s1-10,success,1,0,18,1898.0,0,0,0,0,0
P0,g05,g05P0,3,11,s11-20,success,1,0,38,3035.1,4,0,0,0,0
P0,g05,g05P0,3,12,s11-20,success,1,0,17,504.9,0,0,0,0,0
P0,g05,g05P0,3,13,s11-20,success,1,0,29,1159.3,2,0,0,0,0
P0,g05,g05P0,3,14,s11-20,success,1,0,36,3683.8,0,0,0,0,0
P0,g05,g05P0,3,15,s11-20,policy_fail,0,0,39,3484.8,5,0,0,0,0
P0,g05,g05P0,3,16,s11-20,success,1,0,20,1656.5,1,0,0,0,0
P0,g05,g05P0,3,17,s11-20,success,1,0,18,1219.5,0,0,0,0,0
P0,g05,g05P0,3,18,s11-20,success,1,0,36,3685.6,0,0,0,0,0
P0,g05,g05P0,3,19,s11-20,success,1,0,31,2728.3,1,0,0,0,0
P0,g05,g05P0,3,20,s11-20,success,1,0,23,1657.5,0,0,0,0,0
P0,g05,g05P0,5,1,s1-10,success,1,0,26,2050.9,1,0,0,0,0
P0,g05,g05P0,5,2,s1-10,success,1,0,27,2330.6,1,0,0,0,0
P0,g05,g05P0,5,3,s1-10,success,1,0,14,909.9,0,0,0,0,0
P0,g05,g05P0,5,4,s1-10,success,1,0,27,2576.4,5,0,0,0,0
P0,g05,g05P0,5,5,s1-10,success,1,0,30,3507.1,3,0,0,0,0
P0,g05,g05P0,5,6,s1-10,success,1,0,22,1780.2,1,0,0,0,0
P0,g05,g05P0,5,7,s1-10,success,1,0,35,2646.1,3,0,0,0,0
P0,g05,g05P0,5,8,s1-10,success,1,0,18,1488.6,1,0,0,0,0
P0,g05,g05P0,5,9,s1-10,success,1,0,22,1892.1,0,0,0,0,0
P0,g05,g05P0,5,10,s1-10,success,1,0,26,2256.9,1,0,0,0,0
P0,g05,g05P0,5,11,s11-20,success,1,0,14,904.4,0,0,0,0,0
P0,g05,g05P0,5,12,s11-20,success,1,0,30,2738.7,2,0,0,0,0
P0,g05,g05P0,5,13,s11-20,success,1,0,35,2653.6,2,0,0,0,0
P0,g05,g05P0,5,14,s11-20,success,1,0,24,2632.7,1,0,0,0,0
P0,g05,g05P0,5,15,s11-20,success,1,0,20,1658.1,1,0,0,0,0
P0,g05,g05P0,5,16,s11-20,success,1,0,18,989.8,0,0,0,0,0
P0,g05,g05P0,5,17,s11-20,success,1,0,25,2157.8,1,0,0,0,0
P0,g05,g05P0,5,18,s11-20,success,1,0,30,2821.9,4,0,0,0,0
P0,g05,g05P0,5,19,s11-20,success,1,0,19,1299.8,0,0,0,0,0
