task,seed,cond,repeat,dir,success,turns,planner_calls,tokens,perc,act,maxred,env_steps,wall_s,final_phase,injections,injection_tokens_approx,fired_rules,n_fired,recovery_success,recovery_fail,mem_reads,off_phase_actions,phase_regressions,finish_called
0,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:39:42_libero_spatial_task_t0_s1/,False,11,11,539173,7,0,3,0,496.0,P_look,2,99,"[""R1""]",1,0,1,1,0,0,False
0,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:47:59_libero_spatial_task_t0_s2/,False,40,40,3554425,25,9,9,9,633.0,P_place,6,292,"[""R1"", ""R9""]",2,1,1,1,7,0,False
0,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:58:33_libero_spatial_task_t0_s3/,False,40,40,3735206,30,9,15,9,836.0,P_place,7,244,"[""R1"", ""R9""]",2,1,1,1,6,0,False
0,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:55:29_libero_spatial_task_t0_s4/,False,40,40,3560578,25,10,10,10,853.0,P_place,6,226,"[""R1"", ""R9""]",2,1,1,1,8,0,False
0,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:58:33_libero_spatial_task_t0_s5/,False,40,40,2470105,21,12,4,12,540.0,P_place,6,224,"[""R1"", ""R9""]",2,1,1,1,9,0,False
0,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:01:06_libero_spatial_task_t0_s6/,True,40,40,3585319,21,10,6,10,637.0,P_place,6,226,"[""R1"", ""R9""]",2,2,0,1,7,0,True
0,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:03:28_libero_spatial_task_t0_s7/,False,15,15,951738,8,0,6,0,436.0,P_look,3,117,"[""R1""]",1,0,1,1,0,0,False
0,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:07:35_libero_spatial_task_t0_s8/,True,40,40,3456665,27,9,10,9,507.0,P_place,6,226,"[""R1"", ""R9""]",2,1,1,1,8,0,False
0,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:09:43_libero_spatial_task_t0_s9/,True,36,36,3164678,22,9,7,9,536.0,P_place,6,224,"[""R1"", ""R9""]",2,2,0,1,7,0,True
0,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:10:45_libero_spatial_task_t0_s10/,True,30,30,2230819,16,10,5,10,640.0,P_place,5,155,"[""R1""]",1,1,0,1,7,0,True
