pair,suite_a,suite_b,task,seed,a_success,b_success,a_turns,b_turns,a_perc,b_perc,a_act,b_act,a_red,b_red,a_steps,b_steps,a_ratio,b_ratio,a_reason,b_reason
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,0,True,True,60,37,30,28,23,8,9,14,23,8,0.45,0.64,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,1,False,True,11,37,7,22,0,11,3,9,0,11,0.54,0.48,perception_loop,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,2,False,True,40,36,25,19,9,9,9,8,9,8,0.54,0.49,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,3,False,True,40,36,30,22,9,7,15,10,9,7,0.6,0.5,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,4,False,False,40,40,25,30,10,7,10,8,10,7,0.6,0.64,placement_fail,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,5,False,False,40,40,21,28,12,6,4,8,12,6,0.49,0.64,placement_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,6,True,False,40,40,21,28,10,11,6,9,10,11,0.5,0.53,success,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,7,False,False,15,40,8,25,0,8,6,8,0,8,0.44,0.6,perception_loop,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,8,True,False,40,38,27,23,9,9,10,9,9,9,0.61,0.53,success,early_stop
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,9,True,True,36,32,22,21,9,9,7,11,9,8,0.54,0.55,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,0,10,True,True,30,37,16,21,10,9,5,11,10,9,0.47,0.49,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,0,True,True,36,28,18,13,10,9,7,4,10,8,0.46,0.43,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,1,True,True,40,35,31,17,10,8,8,7,10,8,0.61,0.46,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,2,False,True,40,29,20,17,16,10,8,7,16,10,0.43,0.5,grasp_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,3,True,True,37,30,23,14,11,9,10,7,11,9,0.53,0.44,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,4,False,True,40,36,22,21,12,10,6,9,12,10,0.52,0.51,grasp_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,5,False,False,40,40,25,29,8,13,10,10,8,13,0.6,0.62,placement_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,6,False,False,40,40,24,18,13,10,8,10,13,10,0.48,0.41,grasp_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,7,False,True,40,31,26,14,11,9,11,7,11,9,0.55,0.4,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,8,False,True,40,33,29,14,11,10,8,6,11,10,0.58,0.4,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,9,True,False,40,40,26,21,12,14,9,4,12,14,0.54,0.5,success,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,1,10,False,False,40,40,26,21,11,12,12,7,11,12,0.57,0.5,placement_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,0,True,True,36,20,21,9,10,2,11,3,10,2,0.48,0.36,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,1,True,True,24,25,12,12,3,4,8,6,3,4,0.46,0.41,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,2,False,True,14,18,10,15,0,2,10,11,0,2,0.48,0.62,perception_loop,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,3,False,True,40,21,30,15,10,2,18,12,10,2,0.59,0.58,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,4,False,True,40,24,21,10,14,5,8,7,14,5,0.45,0.38,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,5,True,True,38,23,21,14,9,2,7,9,9,2,0.5,0.5,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,6,True,False,40,40,18,29,15,10,7,10,14,10,0.43,0.62,success,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,7,False,True,40,19,21,10,14,2,7,5,14,2,0.48,0.43,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,8,True,True,20,33,11,19,5,7,5,10,5,7,0.44,0.49,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,9,False,True,40,25,25,16,14,2,12,9,14,2,0.52,0.53,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,2,10,True,True,25,32,12,20,5,4,7,8,5,4,0.41,0.51,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,0,False,True,0,60,0,33,0,26,0,9,0,26,0.0,0.49,infra_crash,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,1,False,False,40,16,23,7,16,1,9,6,16,1,0.48,0.39,grasp_fail,early_stop
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,2,False,True,40,37,23,16,12,12,6,6,12,12,0.52,0.41,grasp_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,3,False,False,40,40,25,21,10,14,6,6,10,14,0.6,0.5,grasp_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,4,False,False,40,40,27,22,14,13,16,7,14,13,0.54,0.5,placement_fail,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,5,True,False,40,40,21,23,13,11,9,10,13,11,0.46,0.52,success,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,6,True,False,40,40,18,25,15,14,5,9,15,14,0.42,0.54,success,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,7,False,False,40,40,25,19,9,16,8,10,9,16,0.53,0.42,grasp_fail,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,8,False,False,40,40,26,28,12,17,16,14,12,17,0.55,0.56,grasp_fail,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,9,True,False,40,40,23,24,8,9,7,13,8,9,0.52,0.53,success,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,3,10,False,False,40,40,19,20,19,13,11,8,19,13,0.41,0.45,grasp_fail,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,4,0,True,False,55,100,36,53,13,43,13,17,13,43,0.6,0.51,success,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,0,True,True,40,33,27,22,8,7,11,8,8,7,0.59,0.54,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,1,False,True,40,34,26,19,9,9,7,9,9,9,0.59,0.49,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,2,True,True,36,39,20,23,8,10,8,13,8,10,0.49,0.56,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,3,False,True,40,40,29,22,5,9,9,9,5,9,0.67,0.5,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,4,True,False,33,40,15,35,10,6,4,10,10,6,0.41,0.67,success,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,5,False,True,40,34,27,19,10,8,12,10,10,8,0.56,0.5,placement_fail,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,6,True,True,40,40,19,24,13,10,5,13,13,9,0.44,0.53,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,7,True,True,40,36,26,18,11,9,9,9,11,9,0.58,0.46,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,8,True,True,31,38,24,21,8,7,9,11,8,7,0.56,0.51,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,9,True,True,40,29,29,14,7,7,14,5,7,7,0.58,0.44,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,5,10,True,False,33,40,18,26,7,9,6,8,7,9,0.5,0.59,success,placement_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,6,0,True,True,49,60,32,36,14,20,16,14,14,20,0.57,0.55,success,success
spatial_task vs spatial_swap,spatial_task,spatial_swap,6,1,False,False,40,40,23,22,11,12,7,9,11,12,0.55,0.49,placement_fail,grasp_fail
spatial_task vs spatial_swap,spatial_task,spatial_swap,6,2,True,False,26,40,15,20,6,16,7,10,6,16,0.48,0.43,success,placement_fail
