ts|suite|task|seed|kind|result|dir
18:20:00|libero_spatial_task|3|1|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:11:16_libero_spatial_task_t3_s1/
18:21:40|libero_spatial_task|3|2|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:11:16_libero_spatial_task_t3_s2/
18:33:47|libero_spatial_task|3|4|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:21:41_libero_spatial_task_t3_s4/
18:36:55|libero_spatial_task|3|3|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:20:01_libero_spatial_task_t3_s3/
18:38:32|libero_spatial_task|7|2|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s2/
18:43:42|libero_spatial_task|7|1|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s1/
18:43:55|libero_spatial_task|7|3|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:33:48_libero_spatial_task_t7_s3/
18:48:07|libero_spatial_task|7|4|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:36:55_libero_spatial_task_t7_s4/
18:51:13|libero_spatial_task|7|5|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:38:33_libero_spatial_task_t7_s5/
18:56:26|libero_spatial_task|7|7|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:55_libero_spatial_task_t7_s7/
18:57:02|libero_spatial_task|7|6|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:42_libero_spatial_task_t7_s6/
19:00:14|libero_spatial_task|7|8|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:48:08_libero_spatial_task_t7_s8/
19:02:17|libero_spatial_task|7|9|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:51:14_libero_spatial_task_t7_s9/
19:05:42|libero_spatial_task|7|10|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260814-18:56:26_libero_spatial_task_t7_s10/
11:00:26|libero_spatial_task|3|10|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s10/
11:00:35|libero_spatial_task|3|7|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s7/
11:01:12|libero_spatial_task|3|5|eval|success|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s5/
11:01:37|libero_spatial_task|3|9|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s9/
11:01:56|libero_spatial_task|3|8|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s8/
11:03:28|libero_spatial_task|3|6|eval|policy_fail|/hw-tbo/yjx/workspace/RPent/logs/20260818-10:50:48_libero_spatial_task_t3_s6/
